Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
h.all.v7.5.1.symbols.gmt,HALLMARK_ALLOGRAFT_REJECTION,5/200,3.9339158647942775e-05,0.00027537411053559944,21.373401534526856,216.7966128705962,CXCL13;GZMB;CD8A;PRF1;IFNG
h.all.v7.5.1.symbols.gmt,HALLMARK_IL2_STAT5_SIGNALING,3/199,0.008730799974710473,0.030557799911486657,9.921119592875318,47.035018795638585,EOMES;ITGAE;CTLA4
h.all.v7.5.1.symbols.gmt,HALLMARK_WNT_BETA_CATENIN_SIGNALING,1/42,0.09188688328326619,0.16080204574571585,16.483830057070385,39.35014946219052,TCF7
h.all.v7.5.1.symbols.gmt,HALLMARK_KRAS_SIGNALING_DN,2/200,0.0732456922107531,0.16080204574571585,6.186842495184472,16.172009348356116,PDCD1;IFNG
h.all.v7.5.1.symbols.gmt,HALLMARK_IL6_JAK_STAT3_SIGNALING,1/87,0.1818412302495466,0.2545777223493652,7.8262853665956795,13.340853001089133,CXCL13
h.all.v7.5.1.symbols.gmt,HALLMARK_APOPTOSIS,1/161,0.3124610612291944,0.3645379047673935,4.1451057550418104,4.821899644922032,PRF1
h.all.v7.5.1.symbols.gmt,HALLMARK_COMPLEMENT,1/200,0.37345764808676435,0.37345764808676435,3.30391768895924,3.2541959507547666,GZMB
