term	gene_set_size	background_size	overlap_count	foreground_annotated	overlap_genes	fold_enrichment	pvalue	p_adjust	neglog10p	neglog10padj
Positive Regulation Of Intracellular Protein Transport (GO:0090316)	126	14350	2	15	GZMB;IFNG	15.185185185185183	0.007452572940760544	0.10708170593829625	2.1276937646928773	0.9702847186049504
Cellular Response To Virus (GO:0098586)	64	14350	1	15	IFNG	14.947916666666666	0.06488090556064664	0.10734840738216081	1.1878830971870469	0.9692043943601971
Protein Secretion (GO:0009306)	67	14350	1	15	PRF1	14.278606965174127	0.06782358587332199	0.10765022641521454	1.1686192525433723	0.9679850524101653
Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042509)	65	14350	1	15	IFNG	14.717948717948717	0.06586276097269972	0.10766786673980254	1.1813600675798481	0.9679138916866754
Cellular Response To Type II Interferon (GO:0071346)	66	14350	1	15	IFNG	14.494949494949495	0.06684365411833564	0.10797821049884987	1.1749398167072578	0.9666638742801752
Positive Regulation Of Interleukin-1 Production (GO:0032732)	64	14350	1	15	IFNG	14.947916666666666	0.06488090556064664	0.10800297084180814	1.1878830971870469	0.9665642981939887
Regulation Of Neurogenesis (GO:0050767)	67	14350	1	15	IFNG	14.278606965174127	0.06782358587332199	0.10827975990302283	1.1686192525433723	0.9654527158947701
Canonical Wnt Signaling Pathway (GO:0060070)	65	14350	1	15	TCF7	14.717948717948717	0.06586276097269972	0.10831646834666882	1.1813600675798481	0.9653055085791472
Extrinsic Apoptotic Signaling Pathway (GO:0097191)	67	14350	1	15	IFNG	14.278606965174127	0.06782358587332199	0.10891669966715825	1.1686192525433723	0.9629055268808903
Antigen Receptor-Mediated Signaling Pathway (GO:0050851)	134	14350	2	15	CD8A;CTLA4	14.278606965174127	0.008392463723133303	0.10910202840073294	2.0761105273366764	0.9621671750298397
Positive Regulation Of MHC Class II Biosynthetic Process (GO:0045348)	10	14350	1	15	IFNG	95.66666666666667	0.010407178147445448	0.1092753705481772	1.982667011231462	0.9614777121615239
Neutrophil Chemotaxis (GO:0030593)	70	14350	1	15	CXCL13	13.666666666666666	0.07075762154102534	0.11165798081329432	1.1502267739670748	0.9521102300551142
Myeloid Leukocyte Differentiation (GO:0002573)	71	14350	1	15	IFNG	13.474178403755868	0.07173371647638144	0.11254772757501226	1.1442766680719578	0.9486632693138015
Positive Regulation Of Protein Localization To Nucleus (GO:1900182)	72	14350	1	15	IFNG	13.287037037037036	0.0727088543889001	0.11342581284668414	1.138412698108145	0.9452880997536836
Negative Regulation Of Interleukin-17 Production (GO:0032700)	10	14350	1	15	IFNG	95.66666666666667	0.010407178147445448	0.11364638537010428	1.982667011231462	0.9444443728627435
Granulocyte Chemotaxis (GO:0071621)	73	14350	1	15	CXCL13	13.105022831050228	0.07368303614994276	0.11429243675530895	1.1326324871000304	0.9419825078734242
Positive Regulation Of Neurogenesis (GO:0050769)	75	14350	1	15	IFNG	12.755555555555555	0.07562853469938366	0.11664740097701548	1.1213143139650819	0.9331249332861323
Wnt Signaling Pathway (GO:0016055)	76	14350	1	15	TCF7	12.587719298245615	0.07659985322684493	0.11682547447446182	1.115772062519255	0.9324624464583923
Positive Regulation Of Interleukin-6 Production (GO:0032755)	76	14350	1	15	IFNG	12.587719298245615	0.07659985322684493	0.11748179736476777	1.115772062519255	0.9300294177873931
Neutrophil Migration (GO:1990266)	77	14350	1	15	CXCL13	12.424242424242424	0.0775702190809571	0.11764816560611827	1.1103049819796074	0.9294148400421575
Negative Regulation Of B Cell Proliferation (GO:0030889)	10	14350	1	15	CTLA4	95.66666666666667	0.010407178147445448	0.11838165142719197	1.982667011231462	0.9267156059023118
Proteolysis Involved In Protein Catabolic Process (GO:0051603)	78	14350	1	15	GZMB	12.264957264957264	0.0785396331294252	0.11846033063167448	1.104911131716458	0.9264270595448864
Positive Regulation Of Endocytosis (GO:0045807)	79	14350	1	15	IFNG	12.10970464135021	0.07950809623922477	0.11926214435883715	1.099588645268183	0.9234973862125015
Regulation Of Protein Localization To Plasma Membrane (GO:1903076)	80	14350	1	15	IFNG	11.958333333333334	0.08047560927660202	0.11940131158974104	1.0943357266092386	0.922990902578019
Positive Regulation Of Immune Response (GO:0050778)	80	14350	1	15	IFNG	11.958333333333334	0.08047560927660202	0.12005377777329154	1.0943357266092386	0.920624169298912
Negative Regulation Of NF-kappaB Transcription Factor Activity (GO:0032088)	81	14350	1	15	HAVCR2	11.810699588477366	0.08144217310707509	0.12018223382827838	1.0891506466499985	0.9201597280122562
Positive Regulation Of Nitric-Oxide Synthase Biosynthetic Process (GO:0051770)	10	14350	1	15	IFNG	95.66666666666667	0.010407178147445448	0.12352867975011335	1.982667011231462	0.9082322002082988
Regulation Of Interleukin-1 Beta Production (GO:0032651)	84	14350	1	15	IFNG	11.38888888888889	0.08433617800133386	0.12378374513099002	1.0739860844990252	0.9073363816761855
Integrin-Mediated Signaling Pathway (GO:0007229)	85	14350	1	15	ITGAE	11.254901960784313	0.08529895364482047	0.1238649699204042	1.069056296254139	0.9070514984770628
Positive Regulation Of Amide Metabolic Process (GO:0034250)	85	14350	1	15	IFNG	11.254901960784313	0.08529895364482047	0.12452734943869513	1.069056296254139	0.9047352557498819
Regulation Of Insulin Secretion (GO:0050796)	87	14350	1	15	IFNG	10.996168582375478	0.08722167112228847	0.12532376955991975	1.0593755967243232	0.9019665506363961
Regulation Of Type II Interferon Production (GO:0032649)	87	14350	1	15	HAVCR2	10.996168582375478	0.08722167112228847	0.12598685828775003	1.0593755967243232	0.8996747538568113
Negative Regulation Of Protein Kinase Activity (GO:0006469)	88	14350	1	15	IFNG	10.871212121212121	0.08818161467786342	0.12603969008930216	1.0546219531478693	0.8994926733548407
Positive Regulation Of Peptidyl-Serine Phosphorylation (GO:0033138)	89	14350	1	15	IFNG	10.749063670411983	0.08914061592452109	0.12609009402794952	1.0499243694455274	0.8993190314125451
Positive Regulation Of Cell Population Proliferation (GO:0008284)	483	14350	2	15	IFNG;TOX	3.9613526570048307	0.08894224186792189	0.12646475015595143	1.0508919279723448	0.8980305096351384
Negative Regulation Of DNA-binding Transcription Factor Activity (GO:0043433)	149	14350	2	15	EOMES;HAVCR2	12.841163310961969	0.010291021861714465	0.12770222582945678	1.987541499205516	0.8938015329869663
Lymphocyte Differentiation (GO:0030098)	91	14350	1	15	TOX	10.512820512820513	0.0910557949263105	0.12813521657156066	1.0406924098423223	0.8923314927317922
Positive Regulation Of Protein Catabolic Process (GO:0045732)	92	14350	1	15	IFNG	10.398550724637682	0.09201197439724852	0.12815953576759614	1.036155650086568	0.8922490744022882
Negative Regulation Of Amide Metabolic Process (GO:0034249)	93	14350	1	15	GZMB	10.28673835125448	0.09296721499088306	0.12818206915409633	1.0316701789604694	0.8921727221812445
Positive Regulation Of Neuron Projection Development (GO:0010976)	92	14350	1	15	TOX	10.398550724637682	0.09201197439724852	0.12881676415614793	1.036155650086568	0.8900276144083301
Positive Regulation Of Cellular Component Biogenesis (GO:0044089)	93	14350	1	15	IFNG	10.28673835125448	0.09296721499088306	0.12883273955589378	1.0316701789604694	0.8899737580813063
Positive Regulation Of Epithelial Cell Migration (GO:0010634)	95	14350	1	15	IFNG	10.07017543859649	0.09487488296991753	0.13015499020496224	1.0228487468071392	0.8855391761760898
Negative Regulation Of Macromolecule Biosynthetic Process (GO:0010558)	98	14350	1	15	GZMB	9.761904761904761	0.097729364737762	0.13340058286704515	1.0099749242296152	0.8748422728528403
Activation Of GTPase Activity (GO:0090630)	102	14350	1	15	CXCL13	9.379084967320262	0.10152227187374076	0.1345416515608312	0.993438672127011	0.8711432454554083
Antimicrobial Humoral Response (GO:0019730)	100	14350	1	15	CXCL13	9.566666666666666	0.09962768240342366	0.13464533314918148	1.0016199723730232	0.8708086947788911
Protein Catabolic Process (GO:0030163)	102	14350	1	15	GZMB	9.379084967320262	0.10152227187374076	0.13519795230015233	0.993438672127011	0.8690298861420093
Hemopoiesis (GO:0030097)	101	14350	1	15	TOX	9.47194719471947	0.10057544273773582	0.1352566298886792	0.9975080469681613	0.8688414378406182
Protein Complex Oligomerization (GO:0051259)	100	14350	1	15	PRF1	9.566666666666666	0.09962768240342366	0.13531521042853065	1.0016199723730232	0.8686533827527562
Regulation Of Protein Secretion (GO:0050708)	102	14350	1	15	IFNG	9.379084967320262	0.10152227187374076	0.13586068736044718	0.993438672127011	0.8669061925121537
Positive Regulation Of Inflammatory Response (GO:0050729)	104	14350	1	15	IFNG	9.198717948717949	0.10341313994864712	0.1363854454395201	0.9854242751238341	0.8652319735399959
Positive Regulation Of Metabolic Process (GO:0009893)	108	14350	1	15	IFNG	8.858024691358025	0.10718373905472972	0.13867848702341806	0.9698710968677691	0.8579909051247058
Negative Regulation Of Translation (GO:0017148)	107	14350	1	15	GZMB	8.94080996884735	0.1062424792912929	0.13877606146661703	0.9737018030931142	0.8576854421634121
Cell-Matrix Adhesion (GO:0007160)	109	14350	1	15	ITGAE	8.776758409785932	0.10812407355228477	0.13923524565931011	0.9660776007095963	0.8562508145975917
Positive Regulation Of DNA Metabolic Process (GO:0051054)	108	14350	1	15	TOX	8.858024691358025	0.10718373905472972	0.13933886077114863	0.9698710968677691	0.8559277445609323
Positive Regulation Of Autophagy (GO:0010508)	107	14350	1	15	IFNG	8.94080996884735	0.1062424792912929	0.13944325406982191	0.9737018030931142	0.8556024910151198
T Cell Activation (GO:0042110)	111	14350	1	15	CD8A	8.618618618618617	0.11000197012758045	0.1409884405860538	0.9585995365883678	0.8508164929863495
Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071900)	112	14350	1	15	IFNG	8.541666666666666	0.1109395338924576	0.14152566706841554	0.9549136631223977	0.8491647894308325
Positive Regulation Of Cellular Component Organization (GO:0051130)	113	14350	1	15	IFNG	8.466076696165192	0.11187617576572725	0.14205672550717927	0.9512623874223188	0.8475382002971681
Regulation Of Interleukin-6 Production (GO:0032675)	114	14350	1	15	IFNG	8.391812865497075	0.11281189658918127	0.14258170263354855	0.9476450993721627	0.8459362034823376
Protein Maturation (GO:0051604)	117	14350	1	15	GZMB	8.176638176638177	0.11561354116792744	0.14412098967508763	0.9369912964509556	0.8412727642503178
Positive Regulation Of Cell Projection Organization (GO:0031346)	118	14350	1	15	TOX	8.10734463276836	0.11654558619585426	0.1446224774157646	0.9335041693942188	0.8397642031756689
Cellular Response To Molecule Of Bacterial Origin (GO:0071219)	117	14350	1	15	CXCL13	8.176638176638177	0.11561354116792744	0.1447820951323128	0.9369912964509556	0.8392851430148044
Regulation Of Protein-Containing Complex Assembly (GO:0043254)	119	14350	1	15	IFNG	8.03921568627451	0.11747671437229198	0.145118294224596	0.930048208471483	0.8382778351158376
Positive Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071902)	117	14350	1	15	IFNG	8.176638176638177	0.11561354116792744	0.14544929372739257	0.9369912964509556	0.837288383258729
Positive Regulation Of Macromolecule Biosynthetic Process (GO:0010557)	122	14350	1	15	IFNG	7.8415300546448075	0.1202646061645669	0.14789296163480525	0.9198621665844401	0.8300524939943226
Enzyme-Linked Receptor Protein Signaling Pathway (GO:0007167)	124	14350	1	15	CD8A	7.71505376344086	0.12211863177143005	0.14817060654933512	0.9132180702221042	0.8292379412927107
Cellular Response To Lipopolysaccharide (GO:0071222)	124	14350	1	15	CXCL13	7.71505376344086	0.12211863177143005	0.14883208247143037	0.9132180702221042	0.8273034415155109
Positive Regulation Of Defense Response (GO:0031349)	124	14350	1	15	IFNG	7.71505376344086	0.12211863177143005	0.1494994909130063	0.9132180702221042	0.8253602862295089
Regulation Of Anatomical Structure Morphogenesis (GO:0022603)	127	14350	1	15	CXCL13	7.532808398950131	0.12489283348712492	0.1508661218671907	0.9034624812919216	0.8214082733985666
Protein Homooligomerization (GO:0051260)	129	14350	1	15	PRF1	7.416020671834626	0.12673775321497624	0.15242029351404632	0.897093996240185	0.8169572063925518
Positive Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050731)	130	14350	1	15	IFNG	7.358974358974359	0.12765885114773592	0.1528546770321575	0.8939490682756628	0.8157212682353605
Negative Regulation Of Cellular Biosynthetic Process (GO:0031327)	137	14350	1	15	GZMB	6.982968369829684	0.1340811913286454	0.1598435163000882	0.8726321399342768	0.7963049752334087
Positive Regulation Of Protein Kinase Activity (GO:0045860)	145	14350	1	15	IFNG	6.597701149425288	0.14136696146896843	0.16779643687403645	0.8496520765946893	0.7752172655715261
Positive Regulation Of Cellular Catabolic Process (GO:0031331)	146	14350	1	15	IFNG	6.552511415525114	0.1422736489436581	0.1681415851152323	0.8468755298391243	0.7743248626905125
Negative Regulation Of Protein Metabolic Process (GO:0051248)	147	14350	1	15	GZMB	6.507936507936508	0.14317944275285582	0.1684827063428002	0.8441193321670374	0.773444670017181
Defense Response To Symbiont (GO:0140546)	148	14350	1	15	PRF1	6.463963963963963	0.1440843437145335	0.1688198533650972	0.8413832073038956	0.7725764812891586
Positive Regulation Of Response To External Stimulus (GO:0032103)	155	14350	1	15	IFNG	6.172043010752688	0.1503937192803254	0.17545933916037967	0.8227703003058977	0.7558235106752844
Response To Lipopolysaccharide (GO:0032496)	159	14350	1	15	CXCL13	6.016771488469601	0.153979559605783	0.17887838201012238	0.8125369268232763	0.7474421420542564
Regulation Of Cytokine Production (GO:0001817)	167	14350	1	15	IFNG	5.728542914171657	0.16110890381821255	0.18636750314564418	0.792880457270028	0.7296298131993786
Brain Development (GO:0007420)	169	14350	1	15	EOMES	5.660749506903353	0.16288245743898921	0.18762409654364579	0.7881256870094596	0.7267113859788075
Regulation Of Neuron Projection Development (GO:0010975)	174	14350	1	15	TOX	5.498084291187739	0.16730104256169515	0.1911011908759112	0.7765013526575668	0.7187366065649484
Positive Regulation Of Cellular Biosynthetic Process (GO:0031328)	174	14350	1	15	IFNG	5.498084291187739	0.16730104256169515	0.1919041370560621	0.7765013526575668	0.7169156626733227
Defense Response To Virus (GO:0051607)	189	14350	1	15	PRF1	5.061728395061729	0.1804265427715846	0.20523519240267749	0.7436995724964688	0.6877481671673188
Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122)	763	14350	2	15	EOMES;IFNG	2.507645259938838	0.18815470540202103	0.21313790279979977	0.7254849163046261	0.6713393118387384
Regulation Of Translation (GO:0006417)	202	14350	1	15	GZMB	4.735973597359735	0.19164552047020367	0.2161951532577091	0.7175013275069848	0.66515404644666
Defense Response To Bacterium (GO:0042742)	204	14350	1	15	CXCL13	4.689542483660131	0.19335874036429515	0.2172301897919859	0.7136361918030214	0.6630798183605776
Regulation Of Angiogenesis (GO:0045765)	205	14350	1	15	CXCL13	4.666666666666667	0.19421407889777006	0.21729689975037386	0.7117192905660857	0.6629464698640591
Negative Regulation Of Cell Differentiation (GO:0045596)	207	14350	1	15	IFNG	4.6215780998389695	0.19592221703137147	0.21831332754924251	0.7079163134333469	0.6609197507571233
Positive Regulation Of Protein Modification Process (GO:0031401)	225	14350	1	15	IFNG	4.2518518518518515	0.21114410069535028	0.2343184532106936	0.6754210481308441	0.6301935081934672
Cellular Response To Lipid (GO:0071396)	228	14350	1	15	CXCL13	4.195906432748537	0.21365477959125162	0.23614475639033072	0.670287387298513	0.6268216935174227
Negative Regulation Of Multicellular Organismal Process (GO:0051241)	231	14350	1	15	IFNG	4.141414141414141	0.21615799892006596	0.23794811977894356	0.6652286887790942	0.6235177225645544
Positive Regulation Of GTPase Activity (GO:0043547)	234	14350	1	15	CXCL13	4.088319088319088	0.21865377926644802	0.23972884232827432	0.6602430118001236	0.6202797118551039
Regulation Of Autophagy (GO:0010506)	241	14350	1	15	IFNG	3.9695712309820195	0.22444845260251386	0.2441212253405828	0.6488833843746299	0.612394458814912
Regulation Of Inflammatory Response (GO:0050727)	240	14350	1	15	IFNG	3.986111111111111	0.2236231050884336	0.2441964307565695	0.6504833264832567	0.6122606881145383
Cytokine-Mediated Signaling Pathway (GO:0019221)	257	14350	1	15	CXCL13	3.722438391699092	0.23754314437786178	0.25733840640935024	0.6242574990348339	0.589495392775622
Positive Regulation Of Apoptotic Process (GO:0043065)	270	14350	1	15	CTLA4	3.5432098765432096	0.2480303243869981	0.26763746465474497	0.6054952187349223	0.5724530928699841
Positive Regulation Of Cell Migration (GO:0030335)	272	14350	1	15	IFNG	3.517156862745098	0.24963173589374332	0.2683049759802832	0.6027002032548812	0.5713712728340632
Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169)	284	14350	1	15	CD8A	3.368544600938967	0.2591735569212519	0.2763843009355538	0.5864093109380824	0.5584866292091758
Central Nervous System Development (GO:0007417)	283	14350	1	15	EOMES	3.380447585394582	0.25838275158064694	0.2766215340451632	0.5877364811698694	0.5581140145630685
Gene Expression (GO:0010467)	296	14350	1	15	GZMB	3.2319819819819817	0.2686020352385975	0.2853243409343857	0.5708907009392933	0.5446611772298317
Cellular Response To Cytokine Stimulus (GO:0071345)	308	14350	1	15	TCF7	3.106060606060606	0.27791842208483347	0.2940764698804633	0.5560826646489739	0.5315397235714481
Protein Transport (GO:0015031)	313	14350	1	15	PRF1	3.0564430244941425	0.28176746227386457	0.2969981359102897	0.5501091594551388	0.5272462764956346
Proteolysis (GO:0006508)	330	14350	1	15	GZMB	2.8989898989898992	0.294711439535928	0.3094470115127244	0.5306030062236878	0.5094137071537498
Positive Regulation Of Macromolecule Metabolic Process (GO:0010604)	364	14350	1	15	IFNG	2.628205128205128	0.31994884673290064	0.33465913853671214	0.4949194509221133	0.47539731121963824
Negative Regulation Of Cell Population Proliferation (GO:0008285)	379	14350	1	15	IFNG	2.5241864555848728	0.33081282416629737	0.34470191220381363	0.4804176630955953	0.4625563073745848
DNA Damage Response (GO:0006974)	384	14350	1	15	CTLA4	2.491319444444444	0.3343980033323432	0.3471127563107593	0.4757363243679924	0.45952942581699424
Positive Regulation Of Multicellular Organismal Process (GO:0051240)	387	14350	1	15	IFNG	2.4720068906115418	0.33654049739008196	0.34801346889201656	0.47296266774076634	0.4584039475698414
Cellular Response To Oxygen-Containing Compound (GO:1901701)	406	14350	1	15	CXCL13	2.3563218390804597	0.3499608602122961	0.3605257163696484	0.45598052463352506	0.4430637515295769
Regulation Of Nucleic Acid-Templated Transcription (GO:1903506)	452	14350	1	15	TCF7	2.116519174041298	0.3814103149016193	0.3914474284516619	0.4186075660244671	0.40732655561477804
Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507)	456	14350	1	15	IFNG	2.0979532163742687	0.3840768374498806	0.39270777761729364	0.4155818830744049	0.40593049739822407
Positive Regulation Of Gene Expression (GO:0010628)	480	14350	1	15	IFNG	1.9930555555555556	0.39985201606178367	0.40731194173457813	0.39810070991981944	0.39007285690785226
Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508)	557	14350	1	15	EOMES	1.7175344105326154	0.44795546898574484	0.45461651685170384	0.34876515683891196	0.34235478980056394
Positive Regulation Of Cellular Process (GO:0048522)	594	14350	1	15	IFNG	1.6105499438832773	0.4697670930171284	0.47498672738398534	0.32811740863464967	0.32331852575288095
Regulation Of Apoptotic Process (GO:0042981)	705	14350	1	15	CTLA4	1.3569739952718676	0.5304733105362027	0.5343882427172817	0.2753364616748663	0.272143105508516
Regulation Of Cell Population Proliferation (GO:0042127)	766	14350	1	15	IFNG	1.2489120974760661	0.5610073393416773	0.5630698663245512	0.25103145707763275	0.24943771407107537
Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	938	14350	1	15	EOMES	1.0199004975124377	0.6374213265155931	0.6374213265155931	0.19557341021732666	0.19557341021732666
