term	gene_set_size	background_size	overlap_count	foreground_annotated	overlap_genes	fold_enrichment	pvalue	p_adjust	neglog10p	neglog10padj
Cytokine-cytokine receptor interaction	295	8067	2	11	CXCL13;IFNG	4.97195685670262	0.058953845492014656	0.2554666637987302	1.2294878611118538	0.5926657635246794
Basal cell carcinoma	63	8067	1	11	TCF7	11.640692640692642	0.08267775156038612	0.25590732625833795	1.0826113426179829	0.5919172807090466
Systemic lupus erythematosus	135	8067	1	11	IFNG	5.432323232323232	0.16952474718478022	0.25625833876769105	0.7707668946214248	0.5913219935581557
Viral myocarditis	60	8067	1	11	PRF1	12.222727272727273	0.07888621895948968	0.25638021161834146	1.1029988593076385	0.5911154983287642
Chemokine signaling pathway	192	8067	1	11	CXCL13	3.819602272727273	0.23290119567629447	0.2565860630332058	0.6328282818634133	0.590766936862702
Hematopoietic cell lineage	99	8067	1	11	CD8A	7.40771349862259	0.12708263745112824	0.25813660732260424	0.8959137804786235	0.5881504021556739
Epstein-Barr virus infection	202	8067	1	11	ENTPD1	3.6305130513051305	0.243555176411036	0.25952600765110395	0.6134026356965679	0.5858191140644794
Osteoclast differentiation	127	8067	1	11	IFNG	5.774516821760916	0.16025872890130624	0.26042043446462265	0.7951783062058526	0.5843249408909594
Leishmaniasis	77	8067	1	11	IFNG	9.524203069657615	0.10018467369458921	0.26048015160593196	0.9991987119914385	0.5842253640206205
Transcriptional misregulation in cancer	192	8067	1	11	GZMB	3.819602272727273	0.23290119567629447	0.26100996067170934	0.6328282818634133	0.5833429187834951
Endometrial cancer	58	8067	1	11	TCF7	12.644200626959247	0.07635062165243696	0.261199495126758	1.1171874225352099	0.5830276668451834
Prostate cancer	97	8067	1	11	TCF7	7.560449859418932	0.12466792943151449	0.26140049719511105	0.9042452535162847	0.5826935907077018
IL-17 signaling pathway	94	8067	1	11	IFNG	7.80174081237911	0.12103448014327778	0.26224137364376854	0.9170908908174742	0.5812987888942811
Pyrimidine metabolism	56	8067	1	11	ENTPD1	13.095779220779221	0.07380868059698016	0.26653134660020616	1.1318925580459362	0.5742517065063867
Thyroid cancer	37	8067	1	11	TCF7	19.820638820638823	0.04934110421518972	0.26726431449894433	1.3067911355678543	0.5730590249726235
Colorectal cancer	86	8067	1	11	TCF7	8.527484143763214	0.11127814881896074	0.26789183974934994	0.9535901077140464	0.5720405152301781
TGF-beta signaling pathway	94	8067	1	11	IFNG	7.80174081237911	0.12103448014327778	0.27128417963148466	0.9170908908174742	0.5665755320735748
Regulation of actin cytoskeleton	218	8067	1	11	ITGAE	3.364053377814846	0.26032203331579035	0.27291826073429637	0.5844890722192208	0.5639674050746191
Th1 and Th2 cell differentiation	92	8067	1	11	IFNG	7.971343873517786	0.11860456907400978	0.2753320353503798	0.9258985800661261	0.5601432547654899
Salmonella infection	249	8067	1	11	TCF7	2.945235487404162	0.2918499149929854	0.3011149916594294	0.5348404288505927	0.5212676216613188
Human papillomavirus infection	331	8067	1	11	TCF7	2.215600109859929	0.36944693385119015	0.375219542192615	0.43244793342795074	0.42571455076898235
Herpes simplex virus 1 infection	498	8067	1	11	IFNG	1.472617743702081	0.5040979085338639	0.5040979085338639	0.2974851044148275	0.2974851044148275
